delta_deg,model,chi2,k,eps12,eps23,eps13,theta12_deg,theta23_deg,theta13_deg,s12sq,s23sq,s13sq
0.0,M_free23+free13,2082.600000000303,3,-0.049388048381254004,-0.06248903533870747,0.0017616731199477918,33.52275029896738,42.187993409758164,8.588208008077904,0.30499999999459654,0.4510000000000022,0.022300000000602026
5.0,M_free23+free13,1941.1000000009085,3,-0.049388048381735876,-0.062489035321524763,0.001761673114743394,33.52275029895039,42.18799341053138,8.588208008033288,0.30499999999432353,0.4510000000134325,0.022300000000372064
6.0,M_free23+free13,1913.4000000000387,3,-0.04938804838175053,-0.06248903533868638,0.0017616731065007187,33.52275029894987,42.1879934097591,8.58820800796262,0.3049999999943152,0.4510000000000186,0.022300000000007827
8.0,M_free23+free13,1858.6000000000554,3,-0.049388048381647606,-0.0624890353383531,0.0017616731061952955,33.522750298953504,42.1879934097741,8.588208007960006,0.30499999999437355,0.4510000000002791,0.02229999999999435
9.0,M_free23+free13,1831.5000000009086,3,-0.049388048381744716,-0.062489035321525145,0.0017616731147462488,33.52275029895008,42.18799341053136,8.588208008033313,0.30499999999431854,0.45100000001343216,0.02230000000037219
10.0,M_free23+free13,1804.6000000009085,3,-0.049388048381735834,-0.062489035321529975,0.0017616731147454422,33.52275029895039,42.18799341053114,8.588208008033304,0.30499999999432353,0.45100000001342827,0.022300000000372147
12.0,M_free23+free13,1751.400000000754,3,-0.049388048381160995,-0.06248903532115716,0.0017616731063260463,33.522750298970664,42.187993410547925,8.588208007961127,0.3049999999946492,0.4510000000137198,0.02230000000000013
15.0,M_free23+free13,1673.1000000007969,3,-0.04938804839035415,-0.06248903532088369,0.0017616731063283464,33.522750298646464,42.187993410560225,8.588208007961146,0.30499999998943916,0.4510000000139335,0.022300000000000226
16.0,M_free23+free13,1647.4000000009087,3,-0.04938804838174473,-0.06248903532152573,0.0017616731147465574,33.52275029895008,42.187993410531334,8.588208008033314,0.30499999999431854,0.4510000000134317,0.0223000000003722
18.0,M_free23+free13,1596.600000000754,3,-0.04938804838185343,-0.06248903532152081,0.0017616731069550837,33.52275029894624,42.18799341053156,8.58820800796652,0.3049999999942568,0.4510000000134356,0.022300000000027922
20.0,M_free23+free13,1546.6000000002286,3,-0.04938804838261352,-0.062489035338708525,0.0017616731159473666,33.52275029891943,42.187993409758114,8.58820800804361,0.30499999999382604,0.4510000000000013,0.02230000000042526
24.0,M_free23+free13,1449.0000000008727,3,-0.04938804838033135,-0.062489035318263414,0.0017616731062818428,33.52275029899992,42.18799341067814,8.588208007960747,0.3049999999951194,0.45100000001598145,0.02229999999999816
25.0,M_free23+free13,1425.100000000877,3,-0.04938804838135339,-0.06248903533869743,0.0017616730908451104,33.52275029896388,42.187993409758604,8.588208007828406,0.30499999999454036,0.45100000000000995,0.022299999999316065
27.0,M_free23+free13,1377.9000000009496,3,-0.04938804838174476,-0.0624890353215314,0.0017616731168287178,33.52275029895008,42.18799341053108,8.588208008051165,0.30499999999431854,0.45100000001342727,0.022300000000464202
30.0,M_free23+free13,1308.6000000002432,3,-0.04938804838174861,-0.06248903533870885,0.0017616731168275336,33.52275029894994,42.1879934097581,8.588208008051154,0.3049999999943162,0.4510000000000012,0.022300000000464153
32.0,M_free23+free13,1263.4000000000533,3,-0.04938804838161955,-0.06248903533906557,0.0017616731062794996,33.52275029895449,42.18799340974204,8.588208007960725,0.30499999999438937,0.4509999999997222,0.022299999999998064
35.0,M_free23+free13,1197.100000000302,3,-0.049388048386202865,-0.062489035338714874,0.0017616731190263652,33.522750298792864,42.18799340975782,8.588208008070007,0.3049999999917919,0.4509999999999964,0.022300000000561315
36.0,M_free23+free13,1175.4000000002006,3,-0.049388048381842034,-0.062489035338707,0.0017616731146757494,33.52275029894664,42.18799340975818,8.588208008032709,0.3049999999942632,0.4510000000000025,0.022300000000369073
40.0,M_free23+free13,1090.6000000002387,3,-0.04938804838205969,-0.06248903533870802,0.0017616731165458587,33.52275029893897,42.187993409758135,8.58820800804874,0.30499999999413996,0.45100000000000173,0.022300000000451712
